id,title,genres,overview,poster_url,video_url
1,3 Idiots,Comedy Drama,"Two friends search for their long lost companion while remembering their college days and the pressure of education.",https://image.tmdb.org/t/p/w500/66A9MqXOyVFCssoloscw79z8Tew.jpg,https://youtu.be/is4ZkFNLnnk?si=uUF4hLvY2NtfUxFB
2,Dangal,Sports Drama,"A former wrestler trains his daughters to become world class wrestlers and fight social stereotypes.",https://image.tmdb.org/t/p/w500/p2lVAcPuRPSO8Al6hDDGw0OgMi6.jpg,https://youtu.be/x_7YlGv9u1g
3,Bajrangi Bhaijaan,Drama Adventure,"A kind hearted man helps a mute Pakistani girl return to her homeland and reunite with her family.",https://image.tmdb.org/t/p/w500/7mV3U1Y7K1b6zF7YFz1JqH8zS3T.jpg,https://youtu.be/4nwAra0mz_Q
4,PK,Comedy Sci-Fi,"An alien stranded on Earth questions religious dogmas and social traditions.",https://image.tmdb.org/t/p/w500/qG3RYlIVpTYclR9TYIsy8p7m7AT.jpg,https://youtu.be/SOXWc32k4zA
5,Pathaan,Action Thriller,"A RAW agent teams up with allies to stop a dangerous terrorist organization threatening India.",https://image.tmdb.org/t/p/w500/vquS2E5QXbqBq0Bq7Xb1x3p2ySg.jpg,https://youtu.be/vqu4z34wENw
6,Sholay,Action Drama,"Two criminals are hired by a retired police officer to capture a ruthless bandit.",https://image.tmdb.org/t/p/w500/6xKCYgH16UuwEGAyroLU6p8HLIn.jpg,https://youtu.be/V1f4R0k0z3E
7,Gadar Ek Prem Katha,Romance Action,"During the partition of India a truck driver falls in love with a Muslim girl and faces great challenges.",https://image.tmdb.org/t/p/w500/kj2G6vE11FXGeUXLEVp3G5UpiRa.jpg,https://youtu.be/4Z7s4GxE9bY
8,Brahmastra,Fantasy Adventure,"A young man discovers his connection to an ancient secret society protecting powerful astras.",https://image.tmdb.org/t/p/w500/x61qdvHIsr9U53FwoLVDQqAGur0.jpg,https://youtu.be/BUjXzrgntcY
9,War,Action Thriller,"An Indian soldier is assigned to eliminate his former mentor who has gone rogue.",https://image.tmdb.org/t/p/w500/yqf7YtYg0Bjqz7B1bH5c9EjoP6T.jpg,https://youtu.be/tQ0mzXRk-oM
10,Kabir Singh,Romance Drama,"A brilliant but troubled surgeon spirals into self destruction after losing the love of his life.",https://image.tmdb.org/t/p/w500/zC6QnK6JqqPiRWaYwIVlY5PjaVX.jpg,https://youtu.be/RiANSSgCuJk
11,Baahubali The Beginning,Action Fantasy,"A young man learns about his royal heritage and the war that destroyed his kingdom.",https://image.tmdb.org/t/p/w500/9BAjt8nSSms62uOVYn1t3C3dVto.jpg,https://youtu.be/sOEg_YZQsTI
12,Baahubali The Conclusion,Action Fantasy,"Shivudu learns about his father Amarendra Baahubali and his battle against Bhallaladeva.",https://image.tmdb.org/t/p/w500/21sC2assImQIYCEDA84QhD3E6Un.jpg,https://youtu.be/G62HrubdD6o
13,Sultan,Sports Drama,"A wrestler fights personal struggles while trying to revive his career.",https://image.tmdb.org/t/p/w500/h6yMCrq1o7cN8Tq2z9Eo0W7Z5qE.jpg,https://youtu.be/wPxqcq6Byq0
14,Chennai Express,Comedy Romance,"A man traveling to immerse his grandfather's ashes meets a woman from a powerful family.",https://image.tmdb.org/t/p/w500/6Yq3C1nR6Xn7H8YB7g6d9uJ7yJx.jpg,https://youtu.be/hZGR5SjvYfQ
15,Raees,Crime Thriller,"A bootlegger rises in power while facing a determined police officer.",https://image.tmdb.org/t/p/w500/k7A2q7Y8x3Y4xXHzkwmo7aXstix.jpg,https://youtu.be/J7_1MU3gDk0
16,Andhadhun,Crime Thriller,"A blind pianist becomes entangled in a series of mysterious murders.",https://image.tmdb.org/t/p/w500/gSsxwE9bCkHq1xVQh3M8xHfY6nA.jpg,https://youtu.be/2iVYI99VGaw
17,Drishyam,Crime Mystery,"A man goes to extreme lengths to protect his family after a crime occurs.",https://image.tmdb.org/t/p/w500/7h6Y0qv0Wc0Gx7S7jH9MuGxYZcQ.jpg,https://youtu.be/AuuX2j14Nbg
18,Drishyam 2,Crime Thriller,"The case reopens and the family must once again protect their secret.",https://image.tmdb.org/t/p/w500/5XkR8Rk1o3U7nZ8b9xP6sY9bV7Z.jpg,https://youtu.be/qp9u6JdP9Ck
19,Padmaavat,Historical Drama,"A Rajput queen becomes the obsession of a ruthless Sultan.",https://image.tmdb.org/t/p/w500/4H9O5S8gK3s9Y7uQ7E4fH0xY9wF.jpg,https://youtu.be/X_5_BLt76c0
20,Tanhaji,Historical Action,"A Maratha warrior leads a mission to capture a strategic fort.",https://image.tmdb.org/t/p/w500/3A3x8QxSNaben7TBPhYuC5x4uWJ.jpg,https://youtu.be/cffAGIYTEHU
21,Kesari,War Drama,"The story of the Battle of Saragarhi where 21 Sikh soldiers fought thousands.",https://image.tmdb.org/t/p/w500/yBMXm3qZK1YxDCEV4VpWw2X2gYd.jpg,https://youtu.be/JFP24D15_XM
22,Bhool Bhulaiyaa,Comedy Horror,"A man tries to solve mysterious supernatural events in a palace.",https://image.tmdb.org/t/p/w500/6z2gV6X1cxZV8oPZxC2fA0RduCM.jpg,https://youtu.be/ss-7iGf1xE8
23,Bhool Bhulaiyaa 2,Comedy Horror,"A trickster gets involved in a haunted palace mystery.",https://image.tmdb.org/t/p/w500/6m4rT2ymlk9EYBLETymFcpnSUsK.jpg,https://youtu.be/poWz5lZkX4I
24,Krrish,Sci-Fi Action,"A young man with special powers becomes a superhero.",https://image.tmdb.org/t/p/w500/4s2xIVhZ4pR9Y8X0sC6rP4Q2Q3P.jpg,https://youtu.be/u0o4C2cC5C8
25,Koi Mil Gaya,Sci-Fi Drama,"A developmentally challenged man befriends an alien.",https://image.tmdb.org/t/p/w500/2W2pJ8WcN6iYG3PaY5E9OQj1YxD.jpg,https://youtu.be/VGvK3M9rQvE
26,Zindagi Na Milegi Dobara,Adventure Drama,"Three friends go on a life changing road trip across Spain.",https://image.tmdb.org/t/p/w500/7Z2R0yS4x2QVFGk3jfbQ3VIAtF5.jpg,https://youtu.be/FJrpcDgC3zU
27,Barfi,Romantic Drama,"A mute and deaf man forms a bond with two women.",https://image.tmdb.org/t/p/w500/4K5U5zszbmWzxubUoil58x2oyS9.jpg,https://youtu.be/nf39Jpi3ZQ4
28,Rockstar,Romance Drama,"A musician experiences heartbreak that transforms his career.",https://image.tmdb.org/t/p/w500/yH5z7mT2ymlk9EYBLETymFcpnSUs.jpg,https://youtu.be/bD5FShPZdpw
29,Sanju,Biography Drama,"The controversial life of actor Sanjay Dutt.",https://image.tmdb.org/t/p/w500/1sPk3V8n0pYx4E9nXl16rYPD6PE.jpg,https://youtu.be/1J76wN0TPI4
30,Chhichhore,Comedy Drama,"A group of friends recall their college days after a tragic incident.",https://image.tmdb.org/t/p/w500/6ApDtO7xaWAfPqfi2IARXIzj8QS.jpg,https://youtu.be/tsxemFX0a7k
31,Uri The Surgical Strike,War Action,"Indian soldiers carry out a covert operation after a terror attack.",https://image.tmdb.org/t/p/w500/yNySAgpAnWmPpYinim9E0tUzJWG.jpg,https://youtu.be/3tALg0YJvJc
32,Lagaan,Sports Drama,"Villagers challenge British officers to a cricket match to avoid taxes.",https://image.tmdb.org/t/p/w500/6Rz6jvP0p7y8Zx3vGN9ofuUBeo5.jpg,https://youtu.be/oSIGQ0YkFxs
33,Don,Crime Action,"A man resembles a crime boss and is used by police to infiltrate a gang.",https://image.tmdb.org/t/p/w500/w9K0U9pYNCXS6pNZFwXk4HkncNH.jpg,https://youtu.be/8jYq9t2P2J4
34,Don 2,Action Thriller,"Don expands his criminal empire across Europe.",https://image.tmdb.org/t/p/w500/3Qx7E8mPKzW0fvkYlEYwH14r2ra.jpg,https://youtu.be/BLtJBt9p4zY
35,Kal Ho Naa Ho,Romance Drama,"A man helps a woman rediscover happiness while hiding his illness.",https://image.tmdb.org/t/p/w500/6hZr7Fv1srO2Qd6hw2yYB9H9n1t.jpg,https://youtu.be/tVMAQAsjsOU
36,Dilwale Dulhania Le Jayenge,Romance Drama,"Two young people fall in love during a trip in Europe.",https://image.tmdb.org/t/p/w500/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,https://youtu.be/oIZ4U21DRlM
37,Kuch Kuch Hota Hai,Romance Drama,"A widower's daughter tries to reunite him with his college friend.",https://image.tmdb.org/t/p/w500/9gk7adHYeDvHkCSEeA2z5y1XbWm.jpg,https://youtu.be/5PSNL1qE6VY
38,My Name Is Khan,Drama,"A Muslim man travels across America to meet the President.",https://image.tmdb.org/t/p/w500/8C4N1kG1HsfrN7kYMva9n32CuWH.jpg,https://youtu.be/5PSNL1qE6VY
39,Student Of The Year,Romance Drama,"Students compete in an elite school championship.",https://image.tmdb.org/t/p/w500/bYd0E7E5Wdl66iRS0LlwM651c01.jpg,https://youtu.be/fivOhPjX9YM
40,Baghi,Action Romance,"A rebellious student fights for love and justice.",https://image.tmdb.org/t/p/w500/7NqA7dxyz9fhxXxhxL7sRKqGZo4.jpg,https://youtu.be/F2lN25IayH8
41,Baghi 2,Action Thriller,"A soldier searches for a missing girl and uncovers a conspiracy.",https://image.tmdb.org/t/p/w500/8j9mH0XGEdq8np5xpoE2mR7BncG.jpg,https://youtu.be/F2lN25IayH8
42,Baghi 3,Action Thriller,"A man goes to war against a terrorist organization to save his brother.",https://image.tmdb.org/t/p/w500/yF3sK2N7DbStO2Qd6hw2yYB9H9n.jpg,https://youtu.be/jQzDujMzfoU
43,Tiger Zinda Hai,Action Thriller,"An Indian spy undertakes a dangerous mission to rescue hostages.",https://image.tmdb.org/t/p/w500/3bNQkY1qXWiwxupCSvJzpuG1HsV.jpg,https://youtu.be/ePO5M5DE01I
44,Ek Tha Tiger,Action Thriller,"A spy falls in love with a woman during a mission.",https://image.tmdb.org/t/p/w500/3YFQyYpRP70dNDO7xjoMnIKPQ4j.jpg,https://youtu.be/SmUl0l8qBXw
45,Race,Action Thriller,"Two brothers become involved in deception and betrayal.",https://image.tmdb.org/t/p/w500/3m4cG3Ejj6inUeJ8V4aHcRUW2KI.jpg,https://youtu.be/VbfpW0pbvaU
46,Race 2,Action Thriller,"A man seeks revenge for the death of his lover.",https://image.tmdb.org/t/p/w500/2h8y7jH9MuGxYZcQ7h6Y0qv0Wc0.jpg,https://youtu.be/svVykTznk9Q
47,Race 3,Action Thriller,"A powerful crime family fights internal betrayal.",https://image.tmdb.org/t/p/w500/1tW5QwDFi1Cdm42Hcps225y7sYP.jpg,https://youtu.be/xBht9TG7ySw
48,Housefull,Comedy,"A man lies about his life leading to chaotic situations.",https://image.tmdb.org/t/p/w500/2K1bV3QAtF5p7rYZcQ7h6Y0qv0W.jpg,https://youtu.be/z6Y6E6H0z4A
49,Housefull 2,Comedy,"Four fathers oppose their daughters' relationships.",https://image.tmdb.org/t/p/w500/3G4oZ6RiMIXja2fJGZveHFkNjEc.jpg,https://youtu.be/q2-Ha5FQp7A
50,Housefull 3,Comedy,"Three daughters hide their boyfriends from their father.",https://image.tmdb.org/t/p/w500/j1N7sYPWqsK0kGug1L6Nq35p3xj.jpg,https://youtu.be/vwzraQWb3XU
